0ya	3.8.5.3.2.8
yellow lantern chili	6.3.5.2.8.1
yellow lantern chili	6.3.5.3.2.26
yellow lantern chili	6.3.5.3.8.5
yellow lantern chili	6.3.5.3.9.8
yellow lantern chili sauce	6.3.5.1.13.1
yellow lantern chili sauce	6.3.5.1.17.8
yellow lantern chili sauce	6.3.5.2.13.1
yellow lantern chili sauce	6.3.5.3.13.1
yellow lantern chili sauce	6.3.5.3.17.9
yellow lemon wedge, yellow lemon wedge, gajo de limón amarillo	1.2.1.1.17.2
yellow lemon, yellow lemon, limón amarillo	1.2.1.1.12.1
yellow lemon, yellow lemon, limón amarillo	1.2.1.2.12.2
yellow lemon, yellow lemon, limón amarillo	1.2.1.2.3.10
Yellow lentils	4.5.3.2.4.4
Yellow Leonforte PGI peach, Yellow Leonforte PGI peach, Pesca di Leonforte IGP gialla	2.4.6.3.3.5
Yellow maize	1.3.1.1.1.2
Yellow maize	1.3.1.3.1.2
Yellow maize	1.3.1.5.1.2
Yellow maize	1.3.2.2.1.2
Yellow maize	1.3.2.3.1.2
Yellow maize	1.3.2.4.1.2
Yellow maize	1.3.3.1.1.2
Yellow maize	1.3.3.2.1.2
Yellow maize	1.3.3.3.1.2
Yellow maize	1.3.3.4.1.2
Yellow maize	1.3.4.1.1.2
Yellow maize	1.3.4.3.1.2
Yellow maize	1.3.4.5.1.2
Yellow maize	1.3.5.1.1.2
Yellow maize	1.3.5.2.1.2
Yellow maize	1.3.5.4.1.2
Yellow maize	1.3.6.1.1.2
Yellow maize	3.2.1.3.1.8
Yellow maize	3.2.1.5.1.9
Yellow maize	3.3.3.1.1.10
yellow maize	3.7.8.1.1.2
yellow maize	3.7.8.2.1.2
yellow maize meal	3.7.1.2.1.2
yellow maize meal	3.7.1.5.1.2
yellow maize meal	3.7.1.6.1.2
yellow maize meal	3.7.1.7.1.2
yellow medium lime	9.4.2.2.3.21
yellow millet	6.1.4.4.1.9
Yellow moong dal	5.4.1.1.4.11
yellow mung bean jelly	6.6.2.2.18.1
Yellow muscat, Yellow muscat, Rumeni muškat	2.6.1.3.20.4
Yellow mustard	1.1.13.6.13.3
Yellow mustard	1.1.14.6.13.3
Yellow mustard	1.1.2.1.13.2
Yellow mustard	1.1.2.2.13.1
Yellow mustard	1.1.2.3.13.1
Yellow mustard	1.1.2.4.13.1
Yellow mustard	1.1.2.5.13.1
Yellow mustard	1.1.3.3.13.2
Yellow mustard	1.1.3.5.13.1
Yellow mustard	1.1.3.6.13.2
Yellow mustard	1.1.4.1.13.4
Yellow mustard	1.1.4.2.13.4
Yellow mustard	1.1.4.3.13.4
Yellow mustard	1.1.5.1.13.1
Yellow mustard	1.1.5.2.13.2
Yellow mustard	1.1.5.3.13.1
Yellow mustard	1.1.5.4.13.1
yellow mustard	1.1.13.1.13.2
yellow mustard	1.1.13.2.8.2
yellow mustard	1.1.13.3.13.1
yellow mustard	1.1.14.1.13.1
yellow mustard	1.1.14.2.13.1
yellow mustard	1.1.14.5.13.1
yellow mustard	1.1.6.1.13.1
yellow mustard	1.1.6.2.13.1
yellow mustard	1.1.6.3.13.1
yellow mustard	1.1.6.4.13.1
yellow mustard	1.1.6.4.17.11
yellow mustard	1.1.6.5.13.1
yellow mustard	1.1.6.6.13.1
yellow mustard	1.1.7.1.13.1
yellow mustard	1.1.7.2.13.1
yellow mustard	1.1.7.3.13.1
yellow mustard	1.1.7.4.13.1
yellow mustard	1.1.7.5.13.1
yellow mustard	1.1.8.2.13.1
yellow mustard	1.1.8.3.13.3
yellow mustard	1.1.8.4.13.8
yellow mustard	1.1.8.6.13.1
Yellow mustard seed	2.5.1.1.5.11
Yellow mustard seed	2.5.1.1.8.16
Yellow mustard seed	2.5.1.2.5.8
Yellow mustard seed	2.5.1.2.8.15
Yellow mustard seed	2.5.1.3.5.11
Yellow mustard seed	2.5.1.3.8.15
Yellow mustard seed	2.5.1.4.5.10
Yellow mustard seed	2.5.1.4.8.15
Yellow mustard seed	2.5.2.1.5.12
Yellow mustard seed	2.5.2.1.8.16
Yellow mustard seed	2.5.2.2.5.16
Yellow mustard seed	2.5.2.2.8.17
Yellow mustard seed	2.5.2.3.5.11
Yellow mustard seed	2.5.2.3.8.18
Yellow mustard seed	2.5.2.4.5.18
Yellow mustard seed	2.5.2.4.8.24
Yellow mustard seed	2.5.3.1.5.15
Yellow mustard seed	2.5.3.1.8.23
Yellow mustard seed	2.5.3.2.5.21
Yellow mustard seed	2.5.3.2.8.28
Yellow mustard seed	2.5.3.3.5.15
Yellow mustard seed	2.5.3.3.8.17
Yellow mustard seed	2.5.3.4.5.16
Yellow mustard seed	2.5.3.4.8.25
Yellow mustard seed	2.5.4.1.5.13
Yellow mustard seed	2.5.4.1.8.10
Yellow mustard seed	2.5.4.2.5.16
Yellow mustard seed	2.5.4.2.8.17
Yellow mustard seed	2.5.4.4.5.16
Yellow mustard seed	2.5.4.4.8.17
Yellow mustard seed	2.5.5.1.5.17
Yellow mustard seed	2.5.5.1.8.21
Yellow mustard seed	2.5.5.2.5.18
Yellow mustard seed	2.5.5.2.8.20
Yellow mustard seed	2.5.5.3.5.10
Yellow mustard seed	2.5.5.3.8.15
Yellow mustard seed	2.5.6.1.5.21
Yellow mustard seed	2.5.6.1.8.23
Yellow mustard seed	2.5.6.2.5.21
Yellow mustard seed	2.5.6.2.8.21
Yellow mustard seed	2.5.6.3.5.20
Yellow mustard seed	2.5.6.3.8.21
Yellow mustard seed	2.9.1.4.8.1
Yellow mustard seed	2.9.4.3.8.3
Yellow mustard seed	2.9.5.1.8.3
yellow mustard seed	1.1.13.2.5.7
yellow mustard seed	1.1.13.3.5.4
yellow mustard seed	1.1.13.3.8.1
yellow mustard seed	1.1.14.1.5.4
yellow mustard seed	1.1.14.1.8.3
yellow mustard seed	1.1.14.2.5.4
yellow mustard seed	1.1.14.2.8.3
yellow mustard seed	1.1.14.3.5.4
yellow mustard seed	1.1.7.4.8.1
yellow mustard seed, yellow mustard seed, semilla de mostaza amarilla	1.2.1.1.5.3
Yellow mustard seeds	2.9.1.4.5.2
Yellow mustard seeds	2.9.3.3.5.2
Yellow mustard seeds	2.9.3.4.5.2
Yellow mustard seeds	2.9.4.1.5.3
Yellow mustard seeds	2.9.4.2.5.4
Yellow mustard seeds	2.9.4.3.5.3
Yellow mustard seeds	2.9.4.4.5.2
Yellow mustard seeds	2.9.5.1.5.3
Yellow mustard seeds	2.9.5.3.5.4
Yellow mustard seeds	2.9.6.1.5.2
Yellow mustard seeds	2.9.6.2.5.3
Yellow mustard seeds	2.9.6.3.5.3
Yellow mustard seeds	2.9.7.1.5.5
Yellow mustard seeds	2.9.7.2.5.4
Yellow mustard seeds	2.9.7.3.5.4
Yellow mustard seeds	2.9.8.1.5.3
yellow napa cabbage	6.2.2.1.2.4
Yellow noodles	6.5.2.2.1.8
yellow noodles	7.2.1.4.1.8
yellow noodles	7.3.2.4.1.10
yellow noodles	7.3.2.5.1.8
yellow noodles	7.3.4.2.1.10
yellow noodles	7.3.5.1.1.9
yellow noodles	7.3.5.2.1.11
yellow noodles	7.3.5.3.1.13
Yellow nutmeg, Yellow nutmeg, Muškát žltý	2.5.6.3.20.21
Yellow nutmeg, Yellow nutmeg, Muškát žltý	2.5.6.3.3.22
yellow oil, yellow oil, sary ýag	8.1.5.3.10.3
yellow onion	1.1.13.1.9.1
yellow onion	2.3.7.1.9.1
yellow onion	2.3.7.2.2.12
yellow onion	2.3.7.2.9.1
yellow onion	2.3.7.3.9.1
yellow onion	2.3.8.1.2.6
yellow onion	2.3.8.1.9.1
yellow onion	2.3.8.2.2.5
yellow onion	2.3.8.2.9.1
yellow onion	2.3.8.4.9.1
yellow onion	4.3.1.1.2.10
yellow onion	4.3.1.1.9.2
yellow onion	4.4.1.1.9.1
yellow onion	5.1.1.1.9.1
yellow onion	5.1.1.3.9.1
yellow onion	6.1.4.3.2.12
yellow onion	6.1.4.4.2.16
yellow onion	6.4.4.1.2.7
yellow onion	6.4.4.1.9.3
yellow onion	6.4.4.3.2.5
yellow onion	6.4.4.3.9.3
yellow onion	6.4.4.4.2.5
yellow onion	6.4.4.4.9.3
yellow onion	8.2.1.1.2.9
yellow onion	8.2.1.1.9.1
yellow onion	8.2.1.3.2.4
yellow onion	8.2.1.3.9.1
yellow onion	8.2.2.1.2.5
yellow onion	8.2.2.1.9.1
yellow onion	8.2.2.2.2.4
yellow onion	8.2.2.2.9.1
yellow onion	8.2.3.2.2.2
yellow onion	8.2.3.2.9.1
yellow onion	8.2.3.3.2.2
yellow onion	8.2.3.3.9.1
yellow onion	8.2.4.1.2.4
yellow onion	8.2.4.1.9.1
yellow onion	8.2.4.2.2.6
yellow onion	8.2.4.2.9.1
yellow onion	8.2.4.3.2.4
yellow onion	8.2.4.3.9.1
yellow onion	8.2.4.4.2.4
yellow onion	8.2.4.4.9.1
yellow onion, yellow onion, žltá cibuľa	2.5.6.1.2.12
yellow onion, yellow onion, žltá cibuľa	2.5.6.1.9.2
yellow onion, yellow onion, žltá cibuľa	2.5.6.2.2.6
yellow onion, yellow onion, žltá cibuľa	2.5.6.2.9.2
yellow onion, yellow onion, žltá cibuľa	2.5.6.3.2.5
yellow onion, yellow onion, žltá cibuľa	2.5.6.3.9.2
yellow onion, yellow onion, žlutá cibule	2.5.5.1.2.2
yellow onion, yellow onion, žlutá cibule	2.5.5.2.2.5
yellow onion, yellow onion, žlutá cibule	2.5.5.2.9.2
Yellow onions	1.1.1.1.9.1
Yellow onions	1.1.13.6.2.3
Yellow onions	1.1.14.6.2.2
Yellow onions	1.1.2.1.9.1
Yellow onions	1.1.2.2.9.1
Yellow onions	1.1.2.3.9.1
Yellow onions	1.1.2.4.2.17
Yellow onions	1.1.2.4.9.1
Yellow onions	1.1.2.5.2.26
Yellow onions	1.1.2.5.9.1
Yellow onions	1.1.3.3.9.1
Yellow onions	1.1.3.4.2.21
Yellow onions	1.1.3.4.9.2
Yellow onions	1.1.3.5.9.1
Yellow onions	1.1.3.6.2.27
Yellow onions	1.1.3.6.9.1
Yellow onions	1.1.3.7.9.1
Yellow onions	1.1.4.1.2.13
Yellow onions	1.1.4.1.9.1
Yellow onions	1.1.4.2.2.19
Yellow onions	1.1.4.2.9.1
Yellow onions	1.1.4.3.2.23
Yellow onions	1.1.4.3.9.1
Yellow onions	1.1.4.4.2.26
Yellow onions	1.1.4.4.9.1
Yellow onions	1.1.5.1.9.1
Yellow onions	1.1.5.2.2.29
Yellow onions	1.1.5.2.9.1
Yellow onions	1.1.5.3.2.23
Yellow onions	1.1.5.3.9.1
Yellow onions	1.1.5.4.2.34
Yellow onions	1.1.5.4.9.1
Yellow onions	1.2.1.6.2.6
Yellow onions	1.2.2.6.2.6
Yellow onions	1.2.2.7.2.6
Yellow onions	1.2.2.8.2.6
Yellow onions	1.2.2.9.2.6
Yellow onions	1.2.3.5.2.6
Yellow onions	1.2.3.6.2.6
Yellow onions	1.2.4.6.2.6
Yellow onions	2.3.3.1.2.9
Yellow onions	2.3.4.3.2.4
Yellow onions	2.3.5.1.2.3
Yellow onions	2.3.5.2.2.10
Yellow onions	2.3.5.3.2.2
Yellow onions	2.3.6.1.2.4
Yellow onions	2.3.6.3.2.3
Yellow onions	2.3.6.3.9.2
Yellow onions	2.3.6.4.2.3
Yellow onions	2.9.1.1.2.17
Yellow onions	2.9.1.1.9.1
Yellow onions	2.9.1.4.2.8
Yellow onions	2.9.1.4.9.1
Yellow onions	2.9.2.1.9.1
Yellow onions	2.9.2.3.9.1
Yellow onions	2.9.2.4.2.11
Yellow onions	2.9.2.4.9.1
Yellow onions	2.9.3.1.2.5
Yellow onions	2.9.3.1.9.1
Yellow onions	2.9.3.2.2.13
Yellow onions	2.9.3.2.9.1
Yellow onions	2.9.3.3.2.18
Yellow onions	2.9.3.3.9.1
Yellow onions	2.9.3.4.2.13
Yellow onions	2.9.3.4.9.1
Yellow onions	2.9.4.1.2.12
Yellow onions	2.9.4.1.9.1
Yellow onions	2.9.4.2.2.15
Yellow onions	2.9.4.2.9.1
Yellow onions	2.9.4.3.2.22
Yellow onions	2.9.4.3.9.1
Yellow onions	2.9.4.4.2.7
Yellow onions	2.9.4.4.9.1
Yellow onions	2.9.5.1.2.22
Yellow onions	2.9.5.1.9.1
Yellow onions	2.9.5.3.2.9
Yellow onions	2.9.5.3.9.1
Yellow onions	2.9.6.1.2.17
Yellow onions	2.9.6.1.9.1
Yellow onions	2.9.6.2.2.19
Yellow onions	2.9.6.2.9.1
Yellow onions	2.9.6.3.2.10
Yellow onions	2.9.6.3.9.1
Yellow onions	2.9.7.1.2.16
Yellow onions	2.9.7.1.9.1
Yellow onions	2.9.7.2.2.9
Yellow onions	2.9.7.2.9.1
Yellow onions	2.9.7.3.2.19
Yellow onions	2.9.7.3.9.1
Yellow onions	2.9.7.4.2.10
Yellow onions	2.9.7.4.9.1
Yellow onions	2.9.8.1.2.13
Yellow onions	2.9.8.1.9.1
yellow onions	1.1.10.1.2.27
yellow onions	1.1.10.1.9.1
yellow onions	1.1.10.2.2.39
yellow onions	1.1.10.2.9.1
yellow onions	1.1.10.3.2.27
yellow onions	1.1.10.3.9.1
yellow onions	1.1.10.4.2.25
yellow onions	1.1.10.4.9.1
yellow onions	1.1.10.5.2.6
yellow onions	1.1.10.5.9.2
yellow onions	1.1.11.1.2.27
yellow onions	1.1.11.1.9.1
yellow onions	1.1.11.2.2.26
yellow onions	1.1.11.2.9.1
yellow onions	1.1.11.3.2.23
yellow onions	1.1.11.3.9.1
yellow onions	1.1.11.4.2.15
yellow onions	1.1.11.4.9.1
yellow onions	1.1.11.5.2.22
yellow onions	1.1.11.5.9.1
yellow onions	1.1.12.1.9.1
yellow onions	1.1.12.2.9.1
yellow onions	1.1.12.3.9.2
yellow onions	1.1.12.4.9.1
yellow onions	1.1.13.4.2.13
yellow onions	1.1.13.4.9.1
yellow onions	1.1.14.1.2.10
yellow onions	1.1.14.1.9.1
yellow onions	1.1.14.2.2.7
yellow onions	1.1.14.2.9.1
yellow onions	1.1.14.3.2.6
yellow onions	1.1.14.3.9.1
yellow onions	1.1.14.4.2.7
yellow onions	1.1.14.4.9.1
yellow onions	1.1.14.5.2.6
yellow onions	1.1.14.5.9.1
yellow onions	1.1.5.5.9.1
yellow onions	1.1.6.1.2.23
yellow onions	1.1.6.1.9.1
yellow onions	1.1.6.2.2.10
yellow onions	1.1.6.2.9.1
yellow onions	1.1.6.3.2.29
yellow onions	1.1.6.3.9.1
yellow onions	1.1.6.4.2.25
yellow onions	1.1.6.4.9.1
yellow onions	1.1.6.5.2.24
yellow onions	1.1.6.5.9.1
yellow onions	1.1.6.6.2.19
yellow onions	1.1.6.6.9.1
yellow onions	1.1.7.1.2.19
yellow onions	1.1.7.1.9.1
yellow onions	1.1.7.2.2.28
yellow onions	1.1.7.2.9.1
yellow onions	1.1.7.3.2.22
yellow onions	1.1.7.3.9.1
yellow onions	1.1.7.4.2.21
yellow onions	1.1.7.4.9.1
yellow onions	1.1.7.5.2.19
yellow onions	1.1.7.5.9.1
yellow onions	1.1.8.1.2.2
yellow onions	1.1.8.1.9.2
yellow onions	1.1.8.2.2.2
yellow onions	1.1.8.2.9.2
yellow onions	1.1.8.3.2.13
yellow onions	1.1.8.3.9.1
yellow onions	1.1.8.4.2.2
yellow onions	1.1.8.4.9.2
yellow onions	1.1.8.5.9.1
yellow onions	1.1.8.6.2.2
yellow onions	1.1.8.6.9.2
yellow onions	1.1.9.1.2.13
yellow onions	1.1.9.1.9.2
yellow onions	1.1.9.2.2.2
yellow onions	1.1.9.2.9.2
yellow onions	1.1.9.3.2.9
yellow onions	1.1.9.3.9.2
yellow onions	1.1.9.4.2.15
yellow onions	1.1.9.4.9.2
yellow onions	1.1.9.5.2.9
yellow onions	1.1.9.5.9.2
yellow onions	2.3.7.3.2.3
yellow onions	2.3.8.4.2.6
yellow onions	2.3.9.2.2.3
yellow onions	2.3.9.2.9.1
yellow onions	5.1.1.1.2.2
yellow onions	5.1.1.3.2.2
yellow onions	7.2.1.3.9.2
yellow onions	7.2.1.4.9.3
yellow onions	7.2.2.1.9.4
yellow onions	7.2.2.3.9.3
yellow onions	7.2.3.1.9.4
yellow onions	7.2.4.1.9.3
yellow onions	7.2.4.3.9.3
yellow passionfruit	9.2.2.2.3.38
yellow passionfruit pulp	9.2.2.2.12.9
yellow pea tofu	7.1.2.3.11.5
yellow pea tofu	7.1.2.3.18.2
yellow pea tofu	7.1.2.3.6.12
yellow pea, yellow pea, žltý hrach	2.5.6.1.4.1
yellow pea, yellow pea, žltý hrach	2.5.6.2.4.1
yellow pea, yellow pea, žltý hrach	2.5.6.3.4.1
yellow peach	6.4.1.4.3.6
yellow peach	6.4.3.1.3.8
yellow peach	6.4.4.1.3.21
yellow peach	6.4.5.2.3.7
yellow peach juice	6.2.2.2.12.4
yellow peach soda	6.2.2.2.16.6
yellow peach soda	6.2.2.2.20.5
yellow peach syrup	6.2.2.2.13.9
yellow peach syrup	6.2.2.2.15.7
yellow peach wine	6.2.2.2.16.5
yellow peach wine	6.2.2.2.20.4
yellow peaches	6.2.2.1.3.2
yellow peaches	6.2.3.1.3.5
yellow peaches	6.2.3.3.3.2
yellow peaches	6.2.3.4.3.2
yellow peaches	6.2.4.2.3.4
yellow peaches	6.2.4.4.3.6
Yellow peas	1.1.13.6.4.13
Yellow peas	1.1.14.6.4.13
Yellow peas	2.9.1.1.4.2
Yellow peas	2.9.2.1.4.2
Yellow peas	2.9.2.4.4.3
Yellow peas	2.9.3.2.4.2
Yellow peas	2.9.3.3.4.2
Yellow peas	2.9.3.4.4.3
Yellow peas	2.9.4.2.4.2
Yellow peas	2.9.4.3.4.3
Yellow peas	2.9.4.4.4.2
Yellow peas	2.9.5.1.4.2
Yellow peas	2.9.6.1.4.2
Yellow peas	2.9.6.2.4.2
Yellow peas	2.9.6.3.4.2
Yellow peas	2.9.7.1.4.4
Yellow peas	2.9.7.2.4.2
Yellow peas	2.9.7.3.4.3
Yellow peas	2.9.8.1.4.2
Yellow peas	3.6.2.4.4.7
Yellow peas	5.5.5.2.4.6
yellow peas	1.1.11.4.4.7
yellow peas	1.1.13.3.4.2
yellow peas	1.1.14.1.4.1
yellow peas	1.1.14.3.4.3
yellow peas	1.1.14.4.4.6
yellow peas	1.1.14.5.4.3
yellow peas	1.1.6.2.4.10
yellow peas	1.1.6.6.4.9
yellow peas	1.1.7.1.4.9
yellow peas	1.1.7.2.4.9
yellow peas	1.1.7.4.4.2
yellow peas	1.1.7.5.4.4
yellow peas	2.1.2.2.4.1
yellow peas	2.8.4.1.4.5
yellow peas	6.1.1.1.1.16
yellow peas	6.1.1.1.4.5
yellow peas	6.1.1.2.4.7
yellow peas	6.4.4.1.4.3
yellow peas	6.4.4.3.4.2
yellow peas	6.4.4.4.4.4
yellow peas	6.4.5.3.1.18
yellow peas	6.4.5.3.4.1
yellow peas	7.1.1.1.4.3
yellow peas, yellow peas, žlutý hrách	2.5.5.1.4.1
yellow peas, yellow peas, žlutý hrách	2.5.5.2.4.1
yellow peas, yellow peas, žlutý hrách	2.5.5.3.4.5
yellow pepper sauce	6.2.3.3.13.2
yellow pepper, yellow pepper, pimentão amarelo	1.7.1.2.2.13
Yellow perch	1.1.1.2.6.15
Yellow perch	1.1.2.1.6.12
Yellow perch	1.1.2.5.6.13
Yellow perch	1.1.4.5.6.23
yellow perch	1.1.11.3.6.13
yellow perch	1.1.11.4.6.13
yellow perch	1.1.13.2.6.2
yellow perch	1.1.13.3.6.17
yellow perch	1.1.14.2.6.19
yellow perch	1.1.6.1.6.2
yellow perch	1.1.6.2.6.2
yellow perch	1.1.6.6.6.3
yellow perch	1.1.7.1.6.14
yellow perch	1.1.7.2.6.12
yellow perch	1.1.7.5.6.15
Yellow plum	9.1.1.5.12.5
Yellow plum	9.1.1.5.3.15
yellow poppy paste	4.1.2.2.13.2
yellow poppy seeds	4.1.2.2.5.1
Yellow potatoes	1.1.2.1.1.3
Yellow potatoes	1.1.2.3.1.3
Yellow potatoes	1.1.2.4.1.3
Yellow potatoes	1.1.2.5.1.3
Yellow potatoes	1.1.3.2.1.3
yellow potatoes	1.1.10.3.1.15
yellow potatoes	1.1.13.1.1.4
yellow potatoes	1.1.13.3.1.3
yellow potatoes	1.1.14.1.1.2
yellow potatoes	1.1.14.2.1.2
yellow potatoes	1.1.14.3.1.2
yellow potatoes	1.1.14.5.1.4
yellow potatoes	1.1.6.1.1.5
yellow potatoes	1.1.6.2.1.6
yellow potatoes	1.1.6.3.1.16
yellow potatoes	1.1.6.4.1.3
yellow potatoes	1.1.6.5.1.19
yellow potatoes	1.1.6.6.1.6
yellow potatoes	1.1.7.1.1.16
yellow potatoes	1.1.7.2.1.20
yellow potatoes	1.1.7.3.1.19
yellow potatoes	1.1.7.4.1.24
yellow potatoes	1.1.7.5.1.19
yellow potatoes	1.1.8.1.1.17
yellow potatoes	1.1.8.2.1.19
yellow potatoes	1.1.8.3.1.19
yellow potatoes	1.1.8.4.1.21
yellow potatoes	1.1.8.5.1.18
yellow potatoes	1.1.8.6.1.20
yellow potatoes	1.1.9.4.1.25
yellow potatoes of Sklithros	2.7.1.5.1.17
yellow potatoes of Sklithros	2.7.1.5.18.13
yellow potatoes of Sklithros	2.7.1.5.2.15
Yellow pumpkin	4.5.2.1.2.8
Yellow pumpkin	5.6.2.1.2.13
Yellow rice	4.5.6.1.1.3
yellow rice wine	6.2.1.2.20.1
yellow rice wine	6.2.2.1.20.1
Yellow River carp	6.1.2.2.6.14
Yellow River carp	6.1.4.3.6.24
Yellow River carp	6.1.4.4.6.13
Yellow River rice	6.1.2.2.1.7
yellow sand clam	6.3.1.1.6.36
Yellow sarson greens	5.7.3.1.2.6
yellow sea catfish	1.3.2.2.6.20
yellow sesbania flowers	7.1.6.1.18.6
yellow sesbania flowers	7.1.6.1.7.17
yellow sesbania flowers	7.1.6.2.18.8
yellow sesbania flowers	7.1.6.2.7.17
yellow sesbania flowers	7.1.6.4.18.8
yellow sesbania flowers	7.1.6.4.2.28
Yellow soup	3.5.1.2.13.1
yellow soybean	6.3.1.3.4.1
yellow soybean	6.3.2.1.4.3
yellow soybean	6.3.2.1.5.5
yellow soybean	6.3.2.2.4.3
yellow soybean	6.3.2.3.4.3
yellow soybean	6.3.2.4.4.3
yellow soybean	6.3.4.1.4.3
yellow soybean	6.3.4.2.4.3
yellow soybean	6.3.4.3.4.3
yellow soybean	6.3.5.1.4.3
yellow soybean	6.3.5.3.4.3
yellow soybean	6.3.5.4.4.3
yellow soybean paste	6.1.1.1.13.2
yellow soybean paste	6.1.1.3.13.5
yellow soybean paste	6.1.2.2.13.4
yellow soybean paste	6.1.2.3.13.2
yellow soybean paste	6.1.3.1.13.3
yellow soybean paste	6.1.3.3.13.2
yellow soybean paste	6.1.4.1.13.2
yellow soybean paste	6.1.4.2.13.4
yellow soybean paste	6.1.4.3.13.2
yellow soybean paste	6.1.4.4.13.2
yellow soybean paste	7.1.3.1.13.3
yellow soybean paste	7.1.3.1.14.3
yellow soybean paste	7.1.3.1.22.7
yellow soybean paste	7.1.3.1.4.4
yellow soybean paste	7.1.3.2.11.2
yellow soybean paste	7.1.3.2.13.3
yellow soybean paste	7.1.3.2.14.4
yellow soybean paste	7.1.3.2.22.4
yellow soybean paste	7.1.3.4.11.10
yellow soybean paste	7.1.3.4.13.3
yellow soybean paste	7.1.3.4.14.9
yellow soybeans	6.1.1.1.4.3
yellow soybeans	6.1.1.2.4.3
yellow soybeans	6.1.1.3.4.2
yellow soybeans	6.1.2.2.4.2
yellow soybeans	6.1.2.3.4.2
yellow soybeans	6.1.3.1.4.2
yellow soybeans	6.1.3.2.4.2
yellow soybeans	6.1.3.3.4.3
yellow soybeans	6.1.3.4.4.2
yellow soybeans	6.1.4.1.4.2
yellow soybeans	6.1.4.2.4.2
yellow soybeans	6.1.4.3.4.2
yellow soybeans	6.1.4.4.4.1
yellow soybeans	6.2.1.1.4.1
yellow soybeans	6.2.1.2.4.1
yellow soybeans	6.2.1.3.4.1
yellow soybeans	6.2.1.4.4.1
yellow soybeans	6.2.2.1.4.1
yellow soybeans	6.2.2.2.4.1
yellow soybeans	6.2.3.1.4.1
yellow soybeans	6.2.3.2.4.1
yellow soybeans	6.2.3.3.4.1
yellow soybeans	6.2.3.4.4.1
yellow soybeans	6.2.4.1.4.1
yellow soybeans	6.2.4.2.4.1
yellow soybeans	6.2.4.3.4.1
yellow soybeans	6.2.4.4.4.1
yellow soybeans	6.4.1.1.4.1
yellow soybeans	6.4.1.2.4.1
yellow soybeans	6.4.1.3.4.1
yellow soybeans	6.4.1.4.1.15
yellow soybeans	6.4.1.4.4.1
yellow soybeans	6.4.2.1.4.1
yellow soybeans	6.4.2.2.4.2
yellow soybeans	6.4.2.3.4.1
yellow soybeans	6.4.2.4.4.1
yellow soybeans	6.4.3.1.4.1
yellow soybeans	6.4.3.2.4.1
yellow soybeans	6.4.3.3.4.1
yellow soybeans	6.4.4.3.4.6
yellow soybeans	6.4.4.4.4.1
yellow soybeans	6.4.5.1.4.4
yellow soybeans	6.4.5.2.4.3
yellow soybeans	6.4.5.3.4.5
yellow soybeans	6.4.5.4.4.3
yellow soybeans	7.1.3.4.4.2
yellow soybeans	7.1.6.1.4.3
yellow soybeans	7.1.6.3.4.3
yellow soybeans	7.1.6.4.4.3
yellow split pea	2.8.1.1.4.2
yellow split pea	2.8.1.2.4.2
yellow split pea flour	7.1.2.3.22.3
Yellow split peas	3.8.2.1.4.1
Yellow split peas	3.8.2.2.4.1
yellow split peas	1.1.13.1.4.3
yellow split peas	2.1.1.1.4.1
yellow split peas	2.1.1.3.4.3
yellow split peas	2.1.1.5.4.3
yellow split peas	2.1.2.1.4.3
yellow split peas	2.1.2.4.4.1
yellow split peas	2.3.7.1.4.2
yellow split peas	2.3.8.1.4.2
yellow split peas	2.3.8.2.4.4
yellow split peas	2.7.1.1.4.2
yellow split peas	2.7.1.2.4.6
yellow split peas	2.7.1.3.4.6
yellow split peas	2.7.1.4.4.7
yellow split peas	2.7.2.1.4.3
yellow split peas	2.7.2.4.4.7
yellow split peas	2.8.2.2.4.4
yellow split peas	2.8.3.1.4.2
yellow split peas	2.8.3.2.4.2
yellow split peas	2.8.3.3.4.2
yellow split peas	2.8.4.2.4.5
yellow split peas	2.8.4.3.4.5
yellow split peas	2.8.4.5.4.4
yellow split peas	2.8.5.1.4.6
yellow split peas	2.8.5.2.4.7
yellow split peas	2.8.5.3.4.8
yellow split peas	2.8.5.4.4.8
yellow split peas	2.8.5.5.4.8
yellow split peas	2.8.6.1.4.7
yellow split peas	2.8.6.2.4.7
yellow split peas	2.8.6.3.4.7
yellow split peas	2.8.6.4.4.7
yellow split peas	2.8.7.1.4.1
yellow split peas	2.8.7.2.4.1
yellow split peas	2.8.7.3.4.1
yellow split peas	2.8.7.4.4.1
yellow split peas	2.8.7.5.4.2
yellow split peas	4.1.1.1.4.7
yellow split peas	4.6.1.2.4.4
yellow split peas	4.6.1.3.4.4
yellow split peas	4.6.2.1.4.6
yellow split peas	4.6.2.2.4.4
yellow split peas	4.6.2.3.4.4
yellow split peas	4.6.3.1.4.3
yellow split peas	4.6.3.3.4.6
yellow split peas	4.6.5.1.4.6
yellow split peas	4.6.5.2.4.3
yellow split peas	4.6.5.3.4.4
yellow split peas	5.1.1.4.4.3
yellow split peas	7.1.1.3.1.11
yellow split peas	7.1.1.3.22.2
yellow split peas	7.1.1.3.4.4
yellow split peas	7.1.2.3.1.9
yellow split peas	7.1.2.3.4.6
Yellow squash	1.1.2.2.2.32
Yellow squash	1.1.2.3.2.49
Yellow squash	1.1.2.4.2.30
Yellow squash	1.1.2.5.2.41
Yellow squash	1.1.3.1.2.33
